Industry Name,Number of Firms,Dividends in $ millions,Buybacks in $ millions,Equity Issuance in $ millions,Net Equity Change  in $ millions,Net Equity Change as % of Book Equity,Debt Repaid  in $ millions,Debt Raised in $ millions,Net Debt Change in $ millions,Net Change in Debt as % of Total Debt,Change in Lease Debt  in $ millions,Number of firms_x,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales,Number of firms_y,Acc Rec/ Sales,Inventory/Sales,Acc Pay/ Sales,Non-cash WC/ Sales
Insurance (Prop/Cas.),50,5608.5325,6758.875,459.168,-6299.707,-0.040871519,19259.228,19709.38,450.152,0.006445031,-155.772,50,0.23,0.05,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.17,0.06,0.77,0.0,0.11,0.0,0.0,50,0.178064789,0.0,0.829742214,-0.409374898
Investments & Asset Management,334,11402.766,45137.932,4258.826,-40879.106,-0.208063222,35499.584,53532.647,18033.063,0.079103657,794.014,334,0.67,0.2,0.19,0.15,0.13,0.15,0.13,0.15,0.13,0.18,0.53,0.18,0.33,0.01,0.35,0.04,0.02,334,0.268271765,8.93003e-05,,
Machinery,103,6629.376,5054.597,1613.781,-3440.816,-0.035810244,23734.025,25930.189,2196.164,0.027168614,598.01,103,0.36,0.1,0.16,0.15,0.13,0.15,0.13,0.15,0.13,0.17,0.36,0.2,0.64,0.02,0.19,0.01,0.01,103,0.182317087,0.174139034,0.09660428,0.251733964
Metals & Mining,68,3736.7,112.352,422.04,309.688,0.009626089,5078.387,3443.944,-1634.443,-0.07571127,232.93,68,0.31,0.07,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.32,0.36,0.32,0.69,0.0,0.04,0.01,0.01,68,0.067961121,0.209194388,0.125615248,0.153215584
Office Equipment & Services,17,336.594,38.51,13.672,-24.838,-0.004426094,4207.866,4259.654,51.788,0.007712251,58.53,17,0.35,0.01,0.08,0.07,0.06,0.08,0.06,0.08,0.06,0.1,0.36,0.12,0.65,0.02,0.26,0.01,0.02,17,0.118078182,0.118755494,0.108980851,0.091260792
Oil/Gas (Integrated),4,26842.292,34709.26,94.192,-34615.068,-0.095085552,10419.8,111.8,-10308.0,-0.126272463,-126.6,4,0.37,0.12,0.16,0.16,0.12,0.16,0.12,0.16,0.12,0.29,0.37,0.29,0.63,0.0,0.07,0.0,0.01,4,0.115765025,0.061523598,0.150179836,0.033696495
Oil/Gas (Production and Exploration),166,23035.563,19447.257,1494.156,-17953.101,-0.075785908,53721.707,64999.009,11277.302,0.089858225,8863.503,166,0.59,0.28,0.38,0.37,0.35,0.38,0.36,0.38,0.36,0.62,0.67,0.62,0.41,0.0,0.05,0.01,0.02,166,0.120980984,0.020008549,0.098835953,0.009995129
Oil/Gas Distribution,24,9714.68,3575.322,580.565,-2994.757,-0.052086508,89248.029,96831.297,7583.268,0.049989266,-723.939,24,0.53,0.24,0.39,0.38,0.34,0.38,0.35,0.38,0.35,0.29,0.35,0.29,0.47,0.0,0.06,0.01,0.01,24,0.081932501,0.029103955,0.075755059,0.025338522
Oilfield Svcs/Equip.,100,8783.424,25259.286,2347.561,-22911.725,-0.145456386,35837.887,35448.12,-389.767,-0.003435064,4676.679,100,0.14,0.06,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.11,0.15,0.12,0.86,0.0,0.03,0.0,0.01,100,0.093491198,0.071232685,0.096742561,0.063418447
Packaging & Container,22,2944.63,2233.409,88.025,-2145.384,-0.043707901,21249.516,23186.13,1936.614,0.025237885,1078.398,11,0.2,0.05,0.11,0.1,0.08,0.1,0.08,0.1,0.08,0.15,0.22,0.15,0.8,0.01,0.07,0.0,0.01,22,0.137484625,0.126565697,0.130548283,0.111226816
Paper/Forest Products,7,105.0,152.9,0.093,-152.807,-0.060866915,1096.244,874.84,-221.404,-0.079682428,146.67,7,0.2,0.04,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.24,0.32,0.24,0.8,0.0,0.09,0.01,0.01,7,0.09224026,0.14926502,0.096848056,0.128966725
Power,50,25160.666,2234.856,10130.443,7895.587,0.020700507,115853.527,174500.454,58646.927,0.085475894,2158.91,50,0.37,0.09,0.17,0.16,0.14,0.16,0.14,0.16,0.14,0.28,0.3,0.28,0.63,0.0,0.02,0.0,0.02,50,0.157171409,0.067516724,0.123251283,0.082551594
Precious Metals,61,1802.4275,75.47,409.079,333.609,0.009104216,1572.409,1316.5,-255.909,-0.023297938,2676.767,61,0.32,-0.04,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.32,0.4,0.33,0.68,0.01,0.07,0.01,0.06,61,0.027459117,0.19088461,0.088451556,0.098325052
Publishing & Newspapers,21,423.56,564.638,24.141,-540.497,-0.037778067,5079.494,4548.328,-531.166,-0.068148294,-85.99,13,0.49,0.02,0.09,0.08,0.07,0.07,0.06,0.07,0.07,0.12,0.45,0.13,0.51,0.01,0.33,0.01,0.02,21,0.126226475,0.046886264,0.05726404,0.101333755
R.E.I.T.,193,50197.9265,4672.188,25049.935,20377.747,0.03994685,8890201.059,8939820.932,49619.873,0.054417666,3908.198,181,0.56,0.12,0.24,0.22,0.22,0.2,0.19,0.2,0.19,0.45,0.55,0.45,0.44,0.0,0.1,0.02,0.02,193,1.394585333,0.006097075,0.128320091,1.336862841
Real Estate (Development),17,1.132,13.56,6.236,-7.324,-0.001411784,677.891,1288.202,610.311,0.100169397,-0.753,17,0.32,-0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.28,0.37,0.28,0.68,0.0,0.09,0.01,0.01,17,0.046652506,0.132883667,0.046321069,0.040784819
Real Estate (General/Diversified),11,51.1,18.236,0.0,-18.236,-0.008102008,73.83,206.86,133.03,0.094656326,117.0,11,0.47,0.17,0.18,0.16,0.14,0.16,0.14,0.16,0.14,0.2,0.53,0.2,0.53,0.0,0.33,0.02,0.04,11,0.260171589,1.907647253,0.116618545,2.012999505
Real Estate (Operations & Services),60,449.462,2244.978,213.094,-2031.884,-0.056311268,39237.617,33978.927,-5258.69,-0.161362477,-1625.407,60,0.34,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.07,0.66,0.02,0.3,0.02,0.04,60,0.109256121,0.016979693,0.055659656,0.09693828
